model_name,accuracy,balanced_accuracy,recall,f1,roc
ada_boost,0.3166332665330661,0.4703296703296703,0.3166332665330661,0.1633403467660216,0.5588386492758148
bagging,0.9719438877755511,0.9429390807399303,0.9719438877755511,0.9719424878080558,0.9969744657949821
extra_trees,0.969939879759519,0.9559568322192202,0.969939879759519,0.9699224865932367,0.9991261453736519
grad_boost,0.9679358717434869,0.9416275560211378,0.9679358717434869,0.9678844625546698,0.9988775386767247
rf,0.9739478957915831,0.9441225126925928,0.9739478957915831,0.9739478957915831,0.9971923009276065
